sourceid_uber,name,image_url,Coke_shows,city,food_type,Coke_in_Menu
a67f6342-81b5-4903-8c03-6731bcd8e044,None,https://duyt4h9nfnj50.cloudfront.net/sku/d5ad90e7ace35683ffd95fb6149aa95f,Coke,Perth,Sandwiches,coke
fe9dffe9-dd05-4547-89e5-1c1ed710fbab,None,https://d1ralsognjng37.cloudfront.net/ba1dd155-f0a0-49bd-84c8-5841314be8fe,Coke,Christchurch,American,coke
a67f6342-81b5-4903-8c03-6731bcd8e044,None,https://duyt4h9nfnj50.cloudfront.net/sku/ec8b74a8d8e04d30aedb4bfaedc622b0,Coke,Perth,Sandwiches,coke
0462afc4-8c00-4ee5-a033-ec551c913694,None,https://duyt4h9nfnj50.cloudfront.net/sku/9cc96cb30a233fbd691f3f438a6dd64a,Coke,None,None,None
25cdb5d5-615d-48b2-8662-653a2e7dbd06,None,https://d1ralsognjng37.cloudfront.net/a8a91626-6463-481c-9e25-a72e8ac25a84,Coke,None,None,None
f9718615-0116-432e-beb7-263ba69c706e,None,https://d1ralsognjng37.cloudfront.net/94304d0b-bcff-4b34-8223-ef5465ded695,Coke,Christchurch,Italian,coke
37fee9c7-5bbf-4e31-be40-27633cf4595c,None,https://d1ralsognjng37.cloudfront.net/0bdff46f-af71-47e2-bd9c-7dd40d61204f,Coke,Christchurch,American,coke
1b637cb1-8121-466b-8b86-db65c3be7976,None,https://duyt4h9nfnj50.cloudfront.net/sku/0f2564a836b602bc2e5f582c5f684067,Coke,None,None,None
4d84a6e7-c8dd-4428-b124-e21706e8940f,None,https://duyt4h9nfnj50.cloudfront.net/sku/0e29bbc8a7456b7db1b491346d3b517d,Coke,None,None,None
6f662418-517d-4b29-99f1-f22ee6624f3d,None,https://d1ralsognjng37.cloudfront.net/e90ac606-1e8e-4c4b-b84c-4d4521a20893,Coke,None,None,None
1c0e38c3-2ffd-43d3-b950-0f308db50480,None,https://d1ralsognjng37.cloudfront.net/429b010d-40c5-4310-bf2c-64749ca6ec1f,Coke,Christchurch,Indian,not-coke
3e7e5339-6489-4dd0-8d37-8c37c3d0798d,None,https://d1ralsognjng37.cloudfront.net/55d1ec42-bafe-43dc-9a8c-e8401c6b4b10,Coke,Melbourne,American,coke
7eaa3497-78de-4e0e-ab0d-5e82db36d87b,None,https://duyt4h9nfnj50.cloudfront.net/sku/d6926483a44506d3dbcff12fa611cacf,Coke,None,None,None
96191a1a-d172-4b59-bd75-dbb547c98222,None,https://d303h3uj89fskf.cloudfront.net/UE-3967_GMA.png,Coke,Christchurch,American,not-coke
08c22d8f-0499-4753-9de2-2668f1807694,None,https://duyt4h9nfnj50.cloudfront.net/sku/1b18bc699453e023502c70f73eb93383,Coke,None,None,None
